300,23
600,47
900,69
1200,93
1500,118
1800,141
2100,173
2400,207
2700,229
3000,259
3300,295
3600,310
3900,327
4200,346
4500,368
4800,405
5100,431
5400,448
5700,470
6000,488
6300,507
6600,519
6900,550
7200,572
7500,589
7800,617
8100,640
8400,661
8700,671
9000,695
9300,700
9600,723
9900,749
10200,772
10500,792
10800,807
11100,845
11400,872
11700,897
12000,918
12300,942
12600,951
12900,972
13200,994
13500,1025
13800,1045
14100,1074
14400,1102
14700,1122
15000,1142
15300,1174
15600,1191
15900,1220
16200,1246
16500,1269
16800,1296
17100,1318
17400,1348
17700,1361
18000,1378
18300,1402
18600,1433
18900,1465
19200,1495
19500,1513
19800,1540
20100,1568
20400,1596
20700,1628
21000,1652
21300,1678
21600,1711
21900,1720
22200,1731
22500,1754
22800,1780
23100,1809
23400,1843
23700,1852
24000,1868
24300,1883
24600,1907
24900,1921
25200,1944
25500,1978
25800,1999
26100,2020
26400,2048
26700,2083
27000,2106
27300,2126
27600,2150
27900,2170
28200,2192
28500,2221
28800,2238
29100,2273
29400,2306
29700,2336
30000,2358
30300,2386
30600,2411
30900,2435
31200,2457
31500,2493
31800,2518
32100,2533
32400,2558
32700,2593
33000,2623
33300,2649
33600,2676
33900,2712
34200,2737
34500,2767
34800,2796
35100,2820
35400,2843
35700,2876
36000,2895
36300,2929
36600,2966
36900,2999
37200,3036
37500,3061
37800,3095
38100,3118
38400,3130
38700,3157
39000,3186
39300,3214
39600,3240
39900,3255
40200,3294
40500,3334
40800,3359
41100,3392
41400,3424
41700,3444
42000,3469
42300,3492
42600,3508
42900,3525
43200,3552
43500,3581
43800,3608
44100,3627
44400,3652
44700,3681
45000,3713
45300,3742
45600,3778
45900,3816
46200,3839
46500,3868
46800,3901
47100,3928
47400,3944
47700,3990
48000,4004
48300,4033
48600,4067
48900,4099
49200,4137
49500,4161
49800,4199
50100,4227
50400,4250
50700,4278
51000,4305
51300,4342
51600,4373
51900,4399
52200,4427
52500,4444
52800,4490
53100,4511
53400,4538
53700,4557
54000,4583
54300,4606
54600,4639
54900,4666
55200,4705
55500,4724
